angle,point10,point11,point12,point13,point14,point15,point16,point17,point20,point21,point22,point23,point24,point25,point26,point27,point30,point31,point32,point33,point34,point35,point36,point37,point40,point41,point42,point43,point44,point45,point46,point47,point50,point51,point52,point53,point54,point55,point56,point57,point60,point61,point62,point63,point64,point65,point66,point67,point70,point71,point72,point73,point74,point75,point76,point77,adr
-15.0,947.0,352.0,1704.0,551.0,1660.0,709.0,906.0,503.0,1126.0,400.0,1165.0,410.0,1154.0,450.0,1115.0,439.0,1478.0,498.0,1517.0,509.0,1507.0,548.0,1467.0,538.0,936.0,404.0,1044.0,433.0,1032.0,475.0,924.0,446.0,1629.0,596.0,1684.0,610.0,1672.0,653.0,1617.0,638.0,960.0,469.0,1003.0,481.0,993.0,517.0,951.0,506.0,1570.0,638.0,1625.0,652.0,1614.0,693.0,1559.0,678.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-15.0.bmp
-14.620253164556962,943.0,354.0,1701.0,549.0,1659.0,706.0,903.0,506.0,1122.0,401.0,1161.0,411.0,1151.0,451.0,1112.0,441.0,1474.0,497.0,1514.0,507.0,1504.0,547.0,1464.0,537.0,932.0,406.0,1040.0,434.0,1029.0,477.0,921.0,449.0,1626.0,593.0,1681.0,608.0,1670.0,650.0,1615.0,636.0,957.0,472.0,1000.0,483.0,990.0,519.0,948.0,508.0,1567.0,636.0,1623.0,650.0,1612.0,691.0,1557.0,677.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-14.620253164556962.bmp
-14.240506329113924,939.0,357.0,1698.0,546.0,1657.0,704.0,900.0,509.0,1119.0,402.0,1157.0,412.0,1147.0,452.0,1108.0,442.0,1471.0,496.0,1511.0,506.0,1501.0,546.0,1461.0,536.0,928.0,408.0,1037.0,436.0,1026.0,479.0,917.0,451.0,1624.0,591.0,1679.0,605.0,1668.0,648.0,1613.0,634.0,954.0,474.0,996.0,485.0,987.0,521.0,944.0,511.0,1565.0,634.0,1620.0,648.0,1610.0,689.0,1555.0,675.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-14.240506329113924.bmp
-13.860759493670885,935.0,359.0,1695.0,543.0,1655.0,701.0,897.0,511.0,1115.0,403.0,1154.0,413.0,1144.0,453.0,1105.0,443.0,1468.0,495.0,1508.0,504.0,1498.0,544.0,1458.0,534.0,924.0,411.0,1033.0,438.0,1023.0,480.0,914.0,454.0,1621.0,589.0,1676.0,603.0,1666.0,645.0,1610.0,632.0,951.0,476.0,993.0,487.0,984.0,524.0,941.0,513.0,1563.0,632.0,1618.0,646.0,1608.0,687.0,1553.0,673.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-13.860759493670885.bmp
-13.481012658227847,931.0,361.0,1692.0,541.0,1653.0,699.0,894.0,514.0,1111.0,404.0,1150.0,414.0,1140.0,454.0,1101.0,444.0,1465.0,493.0,1505.0,503.0,1495.0,543.0,1455.0,533.0,921.0,413.0,1030.0,439.0,1019.0,482.0,910.0,456.0,1618.0,587.0,1674.0,600.0,1664.0,643.0,1608.0,630.0,947.0,478.0,990.0,489.0,981.0,526.0,938.0,515.0,1561.0,631.0,1616.0,644.0,1606.0,685.0,1551.0,671.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-13.481012658227847.bmp
-13.10126582278481,927.0,364.0,1689.0,538.0,1651.0,697.0,890.0,516.0,1107.0,406.0,1146.0,415.0,1137.0,455.0,1098.0,446.0,1462.0,492.0,1502.0,502.0,1492.0,542.0,1453.0,532.0,917.0,416.0,1026.0,441.0,1016.0,484.0,907.0,459.0,1616.0,585.0,1671.0,598.0,1661.0,640.0,1606.0,628.0,944.0,481.0,987.0,491.0,978.0,528.0,935.0,518.0,1558.0,629.0,1614.0,642.0,1604.0,683.0,1549.0,670.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-13.10126582278481.bmp
-12.721518987341772,923.0,366.0,1687.0,536.0,1650.0,694.0,887.0,519.0,1104.0,407.0,1143.0,416.0,1133.0,456.0,1094.0,447.0,1459.0,491.0,1499.0,500.0,1490.0,540.0,1450.0,531.0,913.0,418.0,1023.0,443.0,1013.0,486.0,904.0,461.0,1613.0,583.0,1669.0,595.0,1659.0,638.0,1604.0,625.0,941.0,483.0,984.0,493.0,975.0,530.0,932.0,520.0,1556.0,627.0,1612.0,640.0,1603.0,681.0,1547.0,668.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-12.721518987341772.bmp
-12.341772151898734,919.0,369.0,1684.0,533.0,1648.0,692.0,885.0,522.0,1100.0,408.0,1139.0,417.0,1130.0,457.0,1091.0,448.0,1455.0,490.0,1496.0,499.0,1487.0,539.0,1447.0,530.0,910.0,421.0,1019.0,445.0,1010.0,488.0,900.0,464.0,1611.0,580.0,1666.0,593.0,1657.0,636.0,1601.0,623.0,938.0,485.0,981.0,495.0,972.0,532.0,929.0,522.0,1554.0,625.0,1610.0,638.0,1601.0,679.0,1545.0,666.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-12.341772151898734.bmp
-11.962025316455696,915.0,371.0,1681.0,530.0,1646.0,690.0,882.0,525.0,1096.0,410.0,1135.0,418.0,1127.0,458.0,1088.0,450.0,1452.0,489.0,1492.0,498.0,1484.0,538.0,1444.0,529.0,906.0,423.0,1016.0,447.0,1006.0,490.0,897.0,467.0,1608.0,578.0,1664.0,590.0,1655.0,633.0,1599.0,621.0,934.0,488.0,977.0,497.0,969.0,534.0,926.0,525.0,1552.0,624.0,1607.0,635.0,1599.0,677.0,1543.0,665.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-11.962025316455696.bmp
-11.582278481012658,911.0,374.0,1678.0,528.0,1644.0,687.0,879.0,527.0,1092.0,411.0,1132.0,419.0,1123.0,459.0,1084.0,451.0,1449.0,488.0,1489.0,496.0,1481.0,537.0,1441.0,528.0,902.0,426.0,1012.0,449.0,1003.0,492.0,894.0,469.0,1606.0,576.0,1661.0,588.0,1653.0,631.0,1597.0,619.0,931.0,490.0,974.0,499.0,967.0,536.0,924.0,527.0,1549.0,622.0,1605.0,633.0,1597.0,675.0,1541.0,663.0,/home/lqy/Data/phone/mi_6/data-add-xiaozi15_0/white/cut/-11.582278481012658.bmp
